HostName,TimeStamp,CPU,%user,%nice,%system,%iowait,%steal,%idle
bigdata-proj-m,37,3,19.42,0.00,9.71,0.97,0.00,69.90
bigdata-proj-m,38,all,27.34,0.00,5.57,0.51,0.00,66.58
bigdata-proj-m,38,0,25.51,0.00,8.16,0.00,0.00,66.33
bigdata-proj-m,38,1,32.00,0.00,4.00,0.00,0.00,64.00
bigdata-proj-m,38,2,27.55,0.00,4.08,0.00,0.00,68.37
bigdata-proj-m,38,3,24.21,0.00,5.26,1.05,0.00,69.47
bigdata-proj-m,39,all,12.03,0.00,3.51,0.50,0.00,83.96
bigdata-proj-m,39,0,12.62,0.00,5.83,0.97,0.00,80.58
bigdata-proj-m,39,1,13.13,0.00,2.02,0.00,0.00,84.85
bigdata-proj-m,39,2,9.18,0.00,3.06,1.02,0.00,86.73
bigdata-proj-m,39,3,14.00,0.00,4.00,0.00,0.00,82.00
bigdata-proj-m,40,all,21.14,0.00,3.98,0.50,0.00,74.38
bigdata-proj-m,40,0,13.27,0.00,4.08,0.00,0.00,82.65
bigdata-proj-m,40,1,38.61,0.00,2.97,0.00,0.00,58.42
bigdata-proj-m,40,2,19.39,0.00,2.04,0.00,0.00,78.57
bigdata-proj-m,40,3,13.59,0.00,4.85,0.97,0.00,80.58
bigdata-proj-m,41,all,12.69,0.00,3.81,0.76,0.00,82.74
bigdata-proj-m,41,0,15.31,0.00,3.06,0.00,0.00,81.63
bigdata-proj-m,41,1,9.28,0.00,5.15,1.03,0.00,84.54
bigdata-proj-m,41,2,12.00,0.00,5.00,1.00,0.00,82.00
bigdata-proj-m,41,3,13.13,0.00,3.03,1.01,0.00,82.83
bigdata-proj-m,42,all,24.68,0.00,5.14,1.54,0.00,68.64
bigdata-proj-m,42,0,15.15,0.00,6.06,1.01,0.00,77.78
bigdata-proj-m,42,1,47.96,0.00,1.02,1.02,0.00,50.00
bigdata-proj-m,42,2,20.65,0.00,7.61,5.43,0.00,66.30
bigdata-proj-m,42,3,15.84,0.00,5.94,0.00,0.00,78.22
bigdata-proj-m,43,all,50.13,0.00,5.76,0.50,0.00,43.61
bigdata-proj-m,43,0,68.69,0.00,3.03,0.00,0.00,28.28
bigdata-proj-m,43,1,25.24,0.00,11.65,0.00,0.00,63.11
bigdata-proj-m,43,2,19.59,0.00,5.15,1.03,0.00,74.23
bigdata-proj-m,43,3,87.88,0.00,2.02,0.00,0.00,10.10
bigdata-proj-m,44,all,43.48,0.00,4.86,0.26,0.00,51.41
bigdata-proj-m,44,0,66.67,0.00,3.03,1.01,0.00,29.29
bigdata-proj-m,44,1,37.50,0.00,4.17,0.00,0.00,58.33
bigdata-proj-m,44,2,27.55,0.00,5.10,1.02,0.00,66.33
bigdata-proj-m,44,3,41.84,0.00,7.14,0.00,0.00,51.02
bigdata-proj-m,45,all,14.72,0.00,2.79,1.02,0.00,81.47
bigdata-proj-m,45,0,16.00,0.00,4.00,1.00,0.00,79.00
bigdata-proj-m,45,1,16.00,0.00,3.00,1.00,0.00,80.00
bigdata-proj-m,45,2,15.31,0.00,3.06,1.02,0.00,80.61
bigdata-proj-m,45,3,10.42,0.00,1.04,1.04,0.00,87.50
bigdata-proj-m,46,all,18.69,0.00,3.03,0.51,0.00,77.78
bigdata-proj-m,46,0,29.29,0.00,2.02,0.00,0.00,68.69
bigdata-proj-m,46,1,13.86,0.00,4.95,0.99,0.00,80.20
bigdata-proj-m,46,2,17.35,0.00,3.06,0.00,0.00,79.59
